ID,Source,context,Questions,,,
1,Generated,"on june 4, 2014, the nfl announced that the practice of branding super bowl games with roman numerals, a practice established at super bowl v, would be temporarily suspended, and that the game would be named using arabic numerals as super bowl 50 as opposed to super bowl l.",what was the name of the practice that allowed the use of fan bowl games?,,,
2,Generated,he had to work at various electrical repair jobs and even as a ditch digger for $2 per day.,how much did he spend to work at a ditch digger?,,,
3,Generated,"in may 2000, the parliament was temporarily relocated to the former strathclyde regional council debating chamber in glasgow, and to the university of aberdeen in may 2002.",in what year was the parliament relocated to the former?,,,
4,Generated,"the super bowl 50 halftime show was headlined by the british rock group coldplay with special guest performers beyoncé and bruno mars, who headlined the super bowl xlvii and super bowl xlviii halftime shows, respectively.",what is the name of the feature that featured the super bowl?,,,
5,Generated,"he tried to put these ideas to practical use in an ill-fated attempt at intercontinental wireless transmission, his unfinished wardenclyffe tower project.",what project did bell try to create?,,,
6,Generated,"the first commercial steam-powered device was a water pump, developed in 1698 by thomas savery.",when was the first commercial steam-powered device invented?,,,
7,Generated,"the dornbirner ach had to be diverted, too, and it now flows parallel to the canalized rhine into the lake.",where did the dornbirner ag originate?,,,
8,Generated,"this allowed increased communication and trade between the west, middle east and asia, thus expanding the horizons of all three cultural areas.",what was the trade between west and asia?,,,
9,Generated,"each year, enr compiles and reports on data about the size of design and construction companies.",what is the name of the two reports that data about data about the size of design and construction companies?,,,
10,Generated,some customers consider this to be more convenient and private method rather than traveling to a community drugstore where another customer might overhear about the drugs that they take.,what do some companies consider that they want to do?,,,
11,Generated,"materials readily available in the area generally dictate the construction materials used (e.g. brick versus stone, versus timber).",what type of construction is used in the area?,,,
12,Generated,this early part of luther's career was one of his most creative and productive.,what was one of von neumann 's career?,,,
13,Generated,"although many plants and factories can be found along the rhine up into switzerland, it is along the lower rhine that the bulk of them are concentrated, as the river passes the major cities of cologne, düsseldorf and duisburg.","along with cologne and duisburg, what other cities are located in switzerland?",,,
14,Generated,"woods retained his position as president and ceo of abc until december 1949, and was subsequently promoted to vice-chairman of the board before leaving abc altogether on june 30, 1951.",when did the ceo of nbc leave the board?,,,
15,Generated,"this decreed that it would be occupied by the allies, until 1935 and after that, it would be a demilitarised zone, with the german army forbidden to enter.",what did the allies call the german army to do?,,,
16,Generated,"the wedding was held on 12 may 1191 at the chapel of st. george and it was attended by richard 's sister joan, whom he had brought from sicily.",where was richard 's sister?,,,
17,Generated,"they then beat the defending super bowl xlix champion new england patriots in the afc championship game, 20 -- 18, by intercepting a pass on new england's 2-point conversion attempt with 17 seconds left on the clock.",how many seconds did the new england patriots take on new england?,,,
18,Generated,"a function problem is a computational problem where a single output (of a total function) is expected for every input, but the output is more complex than that of a decision problem, that is, it is n't just yes or no.",what is a dbms problem?,,,
19,Generated,"warsaw university of technology is the second academic school of technology in the country, and one of the largest in east-central europe, employing 2,000 professors.",what is the second academic school of technology in the country?,,,
20,Generated,"the ""west side"" of fresno, also often called ""southwest fresno"", is one of the oldest neighborhoods in the city.",what is another name for west tuscon?,,,
21,Generated,"as sea-level continued to rise in the netherlands, the formation of the holocene rhine-meuse delta began (~ 8,000 years ago).",when did the silurian (formation begin?,,,
22,Generated,"however, the university chose to withdraw from the conference in 1946 after university president robert maynard hutchins de-emphasized varsity athletics in 1939 and dropped football.",when did washington university withdraw from the conference?,,,
23,Generated,"despite the disagreements on the eucharist, the marburg colloquy paved the way for the signing in 1530 of the augsburg confession, and for the formation of the schmalkaldic league the following year by leading protestant nobles such as john of saxony, philip of hesse, and george, margrave of brandenburg-ansbach.",who was the leading protestant nobles?,,,
24,Generated,"in 2006, unicef estimated that up to 30% of girls in the coastal areas of malindi, mombasa, kilifi, and diani were subject to prostitution.",how much of the european population were subject to policing?,,,
25,Generated,the arrival of satellite television ended the need for abc to hold interests in other countries ; many governments also wanted to increase their independence and strengthen legislation to limit foreign ownership of broadcasting properties.,what did the initial satellite broadcast for abc to limit?,,,
26,Generated,"in the more spiritual or mystical islamic tradition of sufism, the position of spiritual teacher and an esoteric (as opposed to exoteric, or actions-oriented, e.g. the five pillars of islam) spirituality and spiritual knowledge takes on a more important dimension, with emphasis on learning from living saints - the highest of which is a qutb - and of traditions passed down from initiate to initiate, and traceable back to the founder of the order.",what is the name of the spiritual school in which the five core of islam and spiritual knowledge takes on a more important dimension?,,,
27,Generated,"the panthers then blew out the arizona cardinals in the nfc championship game, 49 -- 15, racking up 487 yards and forcing seven turnovers.",how many yards did the tampa cardinals lose in the nfc champions game?,,,
28,Generated,"many types of turing machines are used to define complexity classes, such as deterministic turing machines, probabilistic turing machines, non-deterministic turing machines, quantum turing machines, symmetric turing machines and alternating turing machines.",what type of machines are used to define complexity classes?,,,
29,Generated,this is not a valid comparison -- the inner mitochondria membrane is used to run proton pumps and carry out oxidative phosphorylation across to generate atp energy.,what does the inner membrane membrane do?,,,
30,Generated,sky uk limited (formerly british sky broadcasting or bskyb) is a british telecommunications company which serves the united kingdom.,what is the name of the british telecommunications company that serves the uk?,,,
31,Generated,"packet switching contrasts with another principal networking paradigm, circuit switching, a method which pre-allocates dedicated network bandwidth specifically for each communication session, each having a constant bit rate and latency between nodes.",what is a method that provides a connection to each communication session?,,,
32,Generated,"goldenson also cited interest in japan in the early 1950s, acquiring a 5% stake in two new domestic networks, the mainichi broadcasting system in 1951 and nihon educational television in 1957.",in what year did the nihon broadcasts in japan?,,,
33,Generated,"the descendants of rollo 's vikings and their frankish wives would replace the norse religion and old norse language with catholicism (christianity) and the gallo-romance language of the local people, blending their maternal frankish heritage with old norse traditions and customs to synthesize a unique ""norman"" culture in the north of france.",what was the name of the language that the descendants of gaul had?,,,
34,Generated,"however, most of hearst television's 16 abc-affiliated stations transmit the network's programming in 1080i hd, while 11 other affiliates owned by various companies carry the network feed in 480i standard definition either due to technical considerations for affiliates of other major networks that carry abc programming on a digital subchannel or because a primary feed abc affiliate has not yet upgraded their transmission equipment to allow content to be presented in hd.",how many abc-affiliated stations does the network provide?,,,
35,Generated,concepts of this network influenced later arpanet architecture.,what type of architecture did the network have?,,,
36,Generated,"an online petition of over 5,100 names on the parliamentary website led to chris smith asking parliament about the future of the collection.",how many names were on the parliamentary website?,,,
37,Generated,"on the evening of the same day, the couple was married by bugenhagen.",who married bugenhagen?,,,
38,Generated,a similar method is the electrocatalytic o2 evolution from oxides and oxoacids.,what is the name of the simple method that is a similar method of a simple method?,,,
39,Generated,"he was supposedly killed with poison by el temür, and tugh temür then remounted the throne.",who did el temür die?,,,
40,Generated,"each step had to be successfully accomplished before the next ones could be performed, and it was unknown how many tries of each mission would be necessary; therefore letters were used instead of numbers.",what was the first step to be used?,,,
41,Generated,in 2011 the board of pharmaceutical specialties approved ambulatory care pharmacy practice as a separate board certification.,in what year was the board of pharmaceutical specialties approved?,,,
42,Generated,"the crew of apollo 8 sent the first live televised pictures of the earth and the moon back to earth, and read from the creation story in the book of genesis, on christmas eve, 1968.",what was the name of the first live broadcast pictures of the earth?,,,
43,Generated,"rodin is represented by more than 20 works in the museum collection, making it one of the largest collections of the sculptor's work outside france ; these were given to the museum by the sculptor in 1914, as acknowledgement of britain 's support of france in world war i, although the statue of st john the baptist had been purchased in 1902 by public subscription.",who is the museum of st john the baptist museum?,,,
44,Generated,"the style adopted for this part of the museum was italian renaissance, much use was made of terracotta, brick and mosaic, this north façade was intended as the main entrance to the museum with its bronze doors designed by james gamble & reuben townroe having six panels depicting : humphry davy (chemistry) ; isaac newton (astronomy) ; james watt (mechanics) ; bramante (architecture) ; michelangelo (sculpture) ; titian (painting) ; thus representing the range of the museums collections, godfrey sykes also designed the terracotta embellishments and the mosaic in the pediment of the north façade commemorating the great exhibition the profits from which helped to fund the museum, this is flanked by terracotta statue groups by percival ball.",what was the name of the building that was constructed by james gamble?,,,
45,Generated,the number of chloroplasts per cell varies from 1 in algae up to 100 in plants like arabidopsis and wheat.,what is the number of chloroplasts per cell?,,,
46,Generated,"gaining support from princes and officers in northern china and some other parts of the dynasty, khanbaliq-based tugh temür eventually won the civil war against ragibagh known as the war of the two capitals.",what was the name of the war that eventually won the civil war against ragibagh?,,,
47,Generated,"its existence was first proved in 1962, and first sequenced in 1986 -- when two japanese research teams sequenced the chloroplast dna of liverwort and tobacco.",in what year was the first annelid gene first created?,,,
48,Generated,"oxfam's claims have however been questioned on the basis of the methodology used: by using net wealth (adding up assets and subtracting debts), the oxfam report, for instance, finds that there are more poor people in the united states and western europe than in china (due to a greater tendency to take on debts).",how much money does the oxfam report have?,,,
49,Generated,"according to this theory, those who already hold wealth have the means to invest in new sources of creating wealth or to otherwise leverage the accumulation of wealth, thus are the beneficiaries of the new wealth.","according to the theory of the theory, who is the beneficiaries of the new wealth?",,,
50,Generated,"the design, development and construction of the center was conducted by kurt h. debus, a member of dr. wernher von braun's original v-2 rocket engineering team.",who was the director of the center?,,,
51,Generated,"this shift has already commenced in some countries; for instance, pharmacists in australia receive remuneration from the australian government for conducting comprehensive home medicines reviews.",in what country has the shift shift been done?,,,
52,Generated,"the plan was, at least provisionally approved by then superintendent of new york city schools, william h. maxwell.",who was the commissioner of new york city schools?,,,
53,Generated,"steam engines can be said to have been the moving force behind the industrial revolution and saw widespread commercial use driving machinery in factories, mills and mines ; powering pumping stations ; and propelling transport appliances such as railway locomotives, ships, steamboats and road vehicles.",what type of engine is used in industrial applications?,,,
54,Generated,"luther 's 1541 hymn ""christ unser herr zum jordan kam"" (""to jordan came the christ our lord"") reflects the structure and substance of his questions and answers concerning baptism in the small catechism.","when did jesus 's ""christ"" translate to the saints?",,,
55,Generated,stable and radioactive isotope studies provide insight into the geochemical evolution of rock units.,what kind of study provides information into the discoveries of rock units?,,,
56,Generated,"kublai originally named his eldest son, zhenjin, as the crown prince, but he died before kublai in 1285.",who was the youngest son of the crown prince?,,,
57,Generated,"the war was fought between the colonies of british america and new france, with both sides supported by military units from their parent countries of great britain and france, as well as native american allies.",what did the war between britain and france support?,,,
58,Generated,"the south florida/miami area has previously hosted the event 10 times (tied for most with new orleans), with the most recent one being super bowl xliv in 2010.",how many times has the south florida/miami been hosted?,,,
59,Generated,proportionality is recognised one of the general principles of european union law by the european court of justice since the 1950s.,in what decade did the european court of justice begin?,,,
