context1,number1,question1,answer1,context2,number2,question2,answer2,context3,number3,question3,answer3,context4,number4,question4,answer4,context5,number5,question5,answer5,context6,number6,question6,answer6,context7,number7,question7,answer7,context8,number8,question8,answer8,context9,number9,question9,answer9,context10,number10,question10,answer10
"the first commercial steam-powered device was a water pump, developed in 1698 by thomas savery.",105,who developed the first commercial steam powered device?,Thomas Savery,"charles avison, the leading british composer of concertos in the 18th century, was born in newcastle upon tyne in 1709 and died there in 1770.",159,what year did charles avison die in newcastle?,1770,"goldenson also cited interest in japan in the early 1950s, acquiring a 5% stake in two new domestic networks, the mainichi broadcasting system in 1951 and nihon educational television in 1957.",31,in what year did the nihon broadcasts in japan?,1957,"many types of turing machines are used to define complexity classes, such as deterministic turing machines, probabilistic turing machines, non-deterministic turing machines, quantum turing machines, symmetric turing machines and alternating turing machines.",127,"in the determination of complexity classes, what are two examples of types of turing machines?","probabilistic Turing machines, non-deterministic Turing machines","gaining support from princes and officers in northern china and some other parts of the dynasty, khanbaliq-based tugh temÃ¼r eventually won the civil war against ragibagh known as the war of the two capitals.",45,what was the name of the war that eventually won the civil war against ragibagh?,khanbaliq-based tugh temÃ¼r,stable and radioactive isotope studies provide insight into the geochemical evolution of rock units.,154,stable and radioactive isotope studies provide insight into what?,geochemical evolution of rock units,sky uk limited (formerly british sky broadcasting or bskyb) is a british telecommunications company which serves the united kingdom.,129,what kind of company is sky uk limited?,telecommunications,"luther 's 1541 hymn ""christ unser herr zum jordan kam"" (""to jordan came the christ our lord"") reflects the structure and substance of his questions and answers concerning baptism in the small catechism.",153,what does luther's hymn christ unser herr zum jordan kam concern?,baptism,"japanese imports, primarily the toyota corona, the toyota corolla, the datsun b210, the datsun 510, the honda civic, the mitsubishi galant (a captive import from chrysler sold as the dodge colt), the subaru dl, and later the honda accord all had four cylinder engines that were more fuel efficient than the typical american v8 and six cylinder engines.",63,what was the name of the ship that was bought by chrysler?,colt,"warsaw university of technology is the second academic school of technology in the country, and one of the largest in east-central europe, employing 2,000 professors.",118,how many professors does the warsaw university of technology employ?,"2,000"
"crosscountry trains serve destinations in yorkshire, the midlands and the south west.",197,whose trains serve destinations in yorkshire?,CrossCountry,"its existence was first proved in 1962, and first sequenced in 1986 -- when two japanese research teams sequenced the chloroplast dna of liverwort and tobacco.",46,in what year was the first annelid gene first created?,1986,some customers consider this to be more convenient and private method rather than traveling to a community drugstore where another customer might overhear about the drugs that they take.,9,what do some companies consider that they want to do?,more convenient and private method,"in the more spiritual or mystical islamic tradition of sufism, the position of spiritual teacher and an esoteric (as opposed to exoteric, or actions-oriented, e.g. the five pillars of islam) spirituality and spiritual knowledge takes on a more important dimension, with emphasis on learning from living saints - the highest of which is a qutb - and of traditions passed down from initiate to initiate, and traceable back to the founder of the order.",25,what is the name of the spiritual school in which the five core of islam and spiritual knowledge takes on a more important dimension?,actions-oriented,"in china, the polymath shen kuo (1031 -- 1095) formulated a hypothesis for the process of land formation: based on his observation of fossil animal shells in a geological stratum in a mountain hundreds of miles from the ocean, he inferred that the land was formed by erosion of the mountains and by deposition of silt.",91,when did shen kua die?,1095,"he tried to put these ideas to practical use in an ill-fated attempt at intercontinental wireless transmission, his unfinished wardenclyffe tower project.",104,where was his unfinished project called?,Wardenclyffe Tower project,"the crew of apollo 8 sent the first live televised pictures of the earth and the moon back to earth, and read from the creation story in the book of genesis, on christmas eve, 1968.",41,what was the name of the first live broadcast pictures of the earth?,apollo 8,"the ""west side"" of fresno, also often called ""southwest fresno"", is one of the oldest neighborhoods in the city.",119,what is another name for the west side of fresno?,"""Southwest Fresno""","the south florida/miami area has previously hosted the event 10 times (tied for most with new orleans), with the most recent one being super bowl xliv in 2010.",57,how many times has the south florida/miami been hosted?,10,"he was supposedly killed with poison by el temÃ¼r, and tugh temÃ¼r then remounted the throne.",38,who did el temÃ¼r die?,poison
parliamentary time is also set aside for question periods in the debating chamber.,183,what is set aside for question periods in the debating chamber?,Parliamentary time,leonard goldenson said that abc's first international activity was broadcasting the coronation of queen elizabeth ii in june 1953 ; cbs and nbc were unable to cover the coronation live due to respective issues with technical problems and flight delays.,189,why was cbs unable to broadcast the coronation of queen elizabeth ii?,technical problems,"rodin is represented by more than 20 works in the museum collection, making it one of the largest collections of the sculptor's work outside france ; these were given to the museum by the sculptor in 1914, as acknowledgement of britain 's support of france in world war i, although the statue of st john the baptist had been purchased in 1902 by public subscription.",42,who is the museum of st john the baptist museum?,rodin,"while chinese primary schools were allowed to retain chinese as the medium of instruction, chinese secondary schools are required to change into english-medium schools.",195,what language is used in chinese primary schools in malaysia?,Chinese,"despite the disagreements on the eucharist, the marburg colloquy paved the way for the signing in 1530 of the augsburg confession, and for the formation of the schmalkaldic league the following year by leading protestant nobles such as john of saxony, philip of hesse, and george, margrave of brandenburg-ansbach.",22,who was the leading protestant nobles?,john,"the league eventually narrowed the bids to three sites : new orleans' mercedes-benz superdome, miami's sun life stadium, and the san francisco bay area's levi's stadium.",192,what three stadiums did the nfl decide between for the game?,"New Orleans' Mercedes-Benz Superdome, Miami's Sun Life Stadium, and the San Francisco Bay Area's Levi's Stadium","i would be doing a service if i killed my father when he is hunting, made an alliance with sultan muhammad, brought this land to life and gave assistance and support to the muslims.""",87,who was the leader of sultan muhammad?,my father,"packet switching contrasts with another principal networking paradigm, circuit switching, a method which pre-allocates dedicated network bandwidth specifically for each communication session, each having a constant bit rate and latency between nodes.",130,how is circuit switching allocated,a method which pre-allocates dedicated network bandwidth,"each year, enr compiles and reports on data about the size of design and construction companies.",8,what is the name of the two reports that data about data about the size of design and construction companies?,enr,"on the evening of the same day, the couple was married by bugenhagen.",36,who married bugenhagen?,the couple
"osweiler was injured, however, leading to manning's return during the week 17 regular season finale, where the broncos were losing 13 -- 7 against the 4 -- 11 san diego chargers, resulting in manning re-claiming the starting quarterback position for the playoffs by leading the team to a key 27 -- 20 win that enabled the team to clinch the number one overall afc seed.",170,who did the broncos play in the last week of the regular season?,San Diego Chargers,"an online petition of over 5,100 names on the parliamentary website led to chris smith asking parliament about the future of the collection.",135,approximately how many names were signed on an online petition on the parliamentary website in response to the closing of the musical instruments gallery?,"over 5,100","in 1854 at ballarat there was an armed rebellion against the government of victoria by miners protesting against mining taxes (the ""eureka stockade"").",174,when was there a armed protest at ballarat about mining taxes?,1854,"woods retained his position as president and ceo of abc until december 1949, and was subsequently promoted to vice-chairman of the board before leaving abc altogether on june 30, 1951.",13,when did the ceo of nbc leave the board?,june 3,"each step had to be successfully accomplished before the next ones could be performed, and it was unknown how many tries of each mission would be necessary; therefore letters were used instead of numbers.",39,what was the first step to be used?,successfully accomplished before the next ones could be performed,philo incorrectly surmised that parts of the air in the vessel were converted into the classical element fire and thus were able to escape through pores in the glass.,188,what did philo incorrectly assume that the air became?,fire,"the descendants of rollo 's vikings and their frankish wives would replace the norse religion and old norse language with catholicism (christianity) and the gallo-romance language of the local people, blending their maternal frankish heritage with old norse traditions and customs to synthesize a unique ""norman"" culture in the north of france.",32,what was the name of the language that the descendants of gaul had?,vikings,"oxfam's claims have however been questioned on the basis of the methodology used: by using net wealth (adding up assets and subtracting debts), the oxfam report, for instance, finds that there are more poor people in the united states and western europe than in china (due to a greater tendency to take on debts).",147,what has caused oxfam's findings to be questioned?,the methodology used,the number of chloroplasts per cell varies from 1 in algae up to 100 in plants like arabidopsis and wheat.,44,what is the number of chloroplasts per cell?,1,"woods retained his position as president and ceo of abc until december 1949, and was subsequently promoted to vice-chairman of the board before leaving abc altogether on june 30, 1951.",113,what position did mark woods take on at the new american broadcasting company?,president and CEO
"charles avison, the leading british composer of concertos in the 18th century, was born in newcastle upon tyne in 1709 and died there in 1770.",59,when was charles avison born?,1709,"the dornbirner ach had to be diverted, too, and it now flows parallel to the canalized rhine into the lake.",106,"after the dornbirner ach was diverted, where does the rhine flow now?",parallel to the canalized Rhine,"however, mughal emperors directly patronized the legacies of genghis khan and timur ; together their names were synonymous with the names of other distinguished personalities particularly among the muslim populations of south asia.",177,which mongol conqueror was most celebrated by the mughal emperors?,Timur,in 2011 the board of pharmaceutical specialties approved ambulatory care pharmacy practice as a separate board certification.,140,when was ambulatory care pharmacy approved as its own certification?,2011,"the design, development and construction of the center was conducted by kurt h. debus, a member of dr. wernher von braun's original v-2 rocket engineering team.",149,who conducted the construction of the new center?,Kurt H. Debus,some customers consider this to be more convenient and private method rather than traveling to a community drugstore where another customer might overhear about the drugs that they take.,109,what is one reason a patient might choose an internet pharmacy?,another customer might overhear about the drugs that they take,"osweiler was injured, however, leading to manning's return during the week 17 regular season finale, where the broncos were losing 13 -- 7 against the 4 -- 11 san diego chargers, resulting in manning re-claiming the starting quarterback position for the playoffs by leading the team to a key 27 -- 20 win that enabled the team to clinch the number one overall afc seed.",70,how many regular season finals did the taylor seahawks lose during the 2014-15 season?,17,"they then beat the defending super bowl xlix champion new england patriots in the afc championship game, 20 -- 18, by intercepting a pass on new england's 2-point conversion attempt with 17 seconds left on the clock.",116,how many seconds were left in the game when the broncos intercepted the pass that won the game?,17,proportionality is recognised one of the general principles of european union law by the european court of justice since the 1950s.,158,how long has proportionality been recognized as one of the general principles of eu law?,since the 1950s,"one of the network's strike-replacement programs during that time was the game show duel, which premiered in december 2007.",67,when was the game show showdown?,december 2007
"they then beat the defending super bowl xlix champion new england patriots in the afc championship game, 20 -- 18, by intercepting a pass on new england's 2-point conversion attempt with 17 seconds left on the clock.",16,how many seconds did the new england patriots take on new england?,17,"gaining support from princes and officers in northern china and some other parts of the dynasty, khanbaliq-based tugh temÃ¼r eventually won the civil war against ragibagh known as the war of the two capitals.",145,what was the civil war against ragibagh also called?,the War of the Two Capitals,"this shift has already commenced in some countries; for instance, pharmacists in australia receive remuneration from the australian government for conducting comprehensive home medicines reviews.",150,who pays australian pharmacists for doing home medicines reviews?,the Australian Government,concepts of this network influenced later arpanet architecture.,134,this network influenced  later models of,later ARPANET architecture,"in addition to certification, many educational institutions especially within the us, require that prospective teachers pass a background check and psychiatric evaluation to be able to teach in classroom.",171,in what country is a background check required?,US,"although many plants and factories can be found along the rhine up into switzerland, it is along the lower rhine that the bulk of them are concentrated, as the river passes the major cities of cologne, dÃ¼sseldorf and duisburg.",112,where are a bulk of factories concentrated along the rhine?,Switzerland,"the super bowl 50 halftime show was headlined by the british rock group coldplay with special guest performers beyoncÃ© and bruno mars, who headlined the super bowl xlvii and super bowl xlviii halftime shows, respectively.",103,what two artists came out with coldplay during the half-time show?,BeyoncÃ© and Bruno Mars,he had to work at various electrical repair jobs and even as a ditch digger for $2 per day.,101,what did tesla do for a job that paid two dollars a day?,ditch digger,"an online petition of over 5,100 names on the parliamentary website led to chris smith asking parliament about the future of the collection.",35,how many names were on the parliamentary website?,,"cbc began airing series two on 9 october 2006 at 20:00 e/p (20:30 in newfoundland and labrador), shortly after that day's cfl double header on thanksgiving in most of the country.",79,when did cbc begin airing airing?,april
"the first commercial steam-powered device was a water pump, developed in 1698 by thomas savery.",5,when was the first commercial steam-powered device invented?,1698,"the biodiversity of plant species is the highest on earth with one 2001 study finding a quarter square kilometer (62 acres) of ecuadorian rainforest supports more than 1,100 tree species.",181,how many tree species were found in one square kilometer of ecuadorian rainforest in 2001?,"1,100","steam engines can be said to have been the moving force behind the industrial revolution and saw widespread commercial use driving machinery in factories, mills and mines ; powering pumping stations ; and propelling transport appliances such as railway locomotives, ships, steamboats and road vehicles.",152,"along with mills and mines, in what industrial locations did steam drive machines?",factories,this would be the final year in a multi-year contract with anheuser-busch inbev that allowed the beer manufacturer to air multiple advertisements during the game at a steep discount.,162,which company has been able to air multiple ads at a steep discount?,Anheuser-Busch InBev,"rodin is represented by more than 20 works in the museum collection, making it one of the largest collections of the sculptor's work outside france ; these were given to the museum by the sculptor in 1914, as acknowledgement of britain 's support of france in world war i, although the statue of st john the baptist had been purchased in 1902 by public subscription.",142,in which year were rodin's works given to the v&a?,1914,"in bays where they occur in very high numbers, predation by ctenophores may control the populations of small zooplanktonic organisms such as copepods, which might otherwise wipe out the phytoplankton (planktonic plants), which are a vital part of marine food chains.",194,what are phytoplankton?,planktonic plants,"the plan was, at least provisionally approved by then superintendent of new york city schools, william h. maxwell.",151,who approved of this plan?,William H. Maxwell,"this allowed increased communication and trade between the west, middle east and asia, thus expanding the horizons of all three cultural areas.",107,what effect did genghis khan's career have on communication and trade across asia?,increased,"in china, the polymath shen kuo (1031 -- 1095) formulated a hypothesis for the process of land formation: based on his observation of fossil animal shells in a geological stratum in a mountain hundreds of miles from the ocean, he inferred that the land was formed by erosion of the mountains and by deposition of silt.",191,what prompted shen kuo to believe the land was formed by erosion of the mountains?,his observation of fossil animal shells,the number of chloroplasts per cell varies from 1 in algae up to 100 in plants like arabidopsis and wheat.,144,how many chloroplasts per cell does algae have?,1
"luther 's 1541 hymn ""christ unser herr zum jordan kam"" (""to jordan came the christ our lord"") reflects the structure and substance of his questions and answers concerning baptism in the small catechism.",53,"when did jesus 's ""christ"" translate to the saints?",1541,"japanese imports, primarily the toyota corona, the toyota corolla, the datsun b210, the datsun 510, the honda civic, the mitsubishi galant (a captive import from chrysler sold as the dodge colt), the subaru dl, and later the honda accord all had four cylinder engines that were more fuel efficient than the typical american v8 and six cylinder engines.",163,which country's cars became more highly sought after as they were more fuel efficient?,Japanese imports,"according to this theory, those who already hold wealth have the means to invest in new sources of creating wealth or to otherwise leverage the accumulation of wealth, thus are the beneficiaries of the new wealth.",148,"according to the wealth concentration theory, what advantage do the wealthy have in accumulating new wealth?",means to invest,"the wedding was held on 12 may 1191 at the chapel of st. george and it was attended by richard 's sister joan, whom he had brought from sicily.",115,what was the wedding date?,12 May 1191,"however, the university chose to withdraw from the conference in 1946 after university president robert maynard hutchins de-emphasized varsity athletics in 1939 and dropped football.",21,when did washington university withdraw from the conference?,1946,"his work in the formative years of electric power development was involved in a corporate alternating current/direct current ""war of currents"" as well as various patent battles.",164,"what ""war"" was tesla involved in?",War of Currents,"t-cells have a symbiotic relationship with vitamin d. not only does the t-cell extend a vitamin d receptor, in essence asking to bind to the steroid hormone version of vitamin d, calcitriol, but the t-cell expresses the gene cyp27b1, which is the gene responsible for converting the pre-hormone version of vitamin d, calcidiol into the steroid hormone version, calcitriol.",82,what does the t-cell do?,extend a vitamin d receptor,in 2011 the board of pharmaceutical specialties approved ambulatory care pharmacy practice as a separate board certification.,40,in what year was the board of pharmaceutical specialties approved?,2011,"this shift has already commenced in some countries; for instance, pharmacists in australia receive remuneration from the australian government for conducting comprehensive home medicines reviews.",50,in what country has the shift shift been done?,some countries,"the style adopted for this part of the museum was italian renaissance, much use was made of terracotta, brick and mosaic, this north faÃ§ade was intended as the main entrance to the museum with its bronze doors designed by james gamble & reuben townroe having six panels depicting : humphry davy (chemistry) ; isaac newton (astronomy) ; james watt (mechanics) ; bramante (architecture) ; michelangelo (sculpture) ; titian (painting) ; thus representing the range of the museums collections, godfrey sykes also designed the terracotta embellishments and the mosaic in the pediment of the north faÃ§ade commemorating the great exhibition the profits from which helped to fund the museum, this is flanked by terracotta statue groups by percival ball.",143,what art historical style was used in the decoration for the northern part of the museum?,Italian Renaissance
"in addition to certification, many educational institutions especially within the us, require that prospective teachers pass a background check and psychiatric evaluation to be able to teach in classroom.",71,what do students require to teach students in the us?,background check and psychiatric evaluation,parliamentary time is also set aside for question periods in the debating chamber.,83,what type of time is often used in the debates chamber?,parliamentary time,"tesla's father, in a moment of despair, promised to send him to the best engineering school if he recovered from the illness (his father had originally wanted him to enter the priesthood).",90,what was the name of tesla 's father?,priesthood,"some of the income was dispensed in the form of aid to other underdeveloped nations whose economies had been caught between higher oil prices and lower prices for their own export commodities, amid shrinking western demand.",176,what is one of the reason that underdeveloped nations received aid from the oil income?,shrinking Western demand,sky uk limited (formerly british sky broadcasting or bskyb) is a british telecommunications company which serves the united kingdom.,29,what is the name of the british telecommunications company that serves the uk?,united kingdom,"following a break for late local programming, cbs also aired a special episode of the late late show with james corden.",68,who played a special episode of the late 1970s?,cbs,"in 2006, unicef estimated that up to 30% of girls in the coastal areas of malindi, mombasa, kilifi, and diani were subject to prostitution.",123,what percent of girls are in prostution in kenyas coastal areas?,up to 30%,"in bays where they occur in very high numbers, predation by ctenophores may control the populations of small zooplanktonic organisms such as copepods, which might otherwise wipe out the phytoplankton (planktonic plants), which are a vital part of marine food chains.",94,what type of plants are predation?,planktonic,"on june 4, 2014, the nfl announced that the practice of branding super bowl games with roman numerals, a practice established at super bowl v, would be temporarily suspended, and that the game would be named using arabic numerals as super bowl 50 as opposed to super bowl l.",0,what was the name of the practice that allowed the use of fan bowl games?,arabic numerals,philo incorrectly surmised that parts of the air in the vessel were converted into the classical element fire and thus were able to escape through pores in the glass.,88,what did philo think parts of the air were converted into?,the classical element fire
"seasonal rainfall is concentrated in the warmest months from may through september, while the driest months are from november through april.",78,when are tucson 's warmest months?,genghis khan and timur,"he was supposedly killed with poison by el temÃ¼r, and tugh temÃ¼r then remounted the throne.",138,who took the throne after kusala's death?,Tugh TemÃ¼r,"however, the university chose to withdraw from the conference in 1946 after university president robert maynard hutchins de-emphasized varsity athletics in 1939 and dropped football.",121,why did the university eventually leave the conference?,Robert Maynard Hutchins de-emphasized varsity athletics,"while chinese primary schools were allowed to retain chinese as the medium of instruction, chinese secondary schools are required to change into english-medium schools.",95,what were chinese primary schools required to retain?,english-medium schools,stable and radioactive isotope studies provide insight into the geochemical evolution of rock units.,54,what kind of study provides information into the discoveries of rock units?,stable and radioactive isotope,"the panthers then blew out the arizona cardinals in the nfc championship game, 49 -- 15, racking up 487 yards and forcing seven turnovers.",26,how many yards did the tampa cardinals lose in the nfc champions game?,487,tesla gained experience in telephony and electrical engineering before emigrating to the united states in 1884 to work for thomas edison in new york city.,161,in what area of the united states did tesla move to?,New York City,"johann sebastian bach included several verses as chorales in his cantatas and based chorale cantatas entirely on them, namely christ lag in todes banden, bwv 4, as early as possibly 1707, in his second annual cycle (1724 to 1725) ach gott, vom himmel sieh darein, bwv 2, christ unser herr zum jordan kam, bwv 7, nun komm, der heiden heiland, bwv 62, gelobet seist du, jesu christ, bwv 91, and aus tiefer not schrei ich zu dir, bwv 38, later ein feste burg ist unser gott, bwv 80, and in 1735 wÃ¤r gott nicht mit uns diese zeit, bwv 14.",180,what did bach base entirely on luther chorales?,chorale cantatas,"however, most of hearst television's 16 abc-affiliated stations transmit the network's programming in 1080i hd, while 11 other affiliates owned by various companies carry the network feed in 480i standard definition either due to technical considerations for affiliates of other major networks that carry abc programming on a digital subchannel or because a primary feed abc affiliate has not yet upgraded their transmission equipment to allow content to be presented in hd.",133,what format do hearst television's abc affiliates transmit in?,1080i HD,"the biodiversity of plant species is the highest on earth with one 2001 study finding a quarter square kilometer (62 acres) of ecuadorian rainforest supports more than 1,100 tree species.",75,how many tree species does the biodiversity of plant species support?,more than 
