context1,number1,question1,answer1,context2,number2,question2,answer2,context3,number3,question3,answer3,context4,number4,question4,answer4,context5,number5,question5,answer5,context6,number6,question6,answer6,context7,number7,question7,answer7,context8,number8,question8,answer8,context9,number9,question9,answer9,context10,number10,question10,answer10
"the biodiversity of plant species is the highest on earth with one 2001 study finding a quarter square kilometer (62 acres) of ecuadorian rainforest supports more than 1,100 tree species.",181,how many tree species were found in one square kilometer of ecuadorian rainforest in 2001?,1100,"when two forces act on a point particle, the resulting force, the resultant (also called the net force), can be determined by following the parallelogram rule of vector addition: the addition of two vectors represented by sides of a parallelogram, gives an equivalent resultant vector that is equal in magnitude and direction to the transversal of the parallelogram.",99,what is the resultant force called when two forces act on a particle?,net force,"following a break for late local programming, cbs also aired a special episode of the late late show with james corden.",168,what followed the late local programming after super bowl 50?,the late late show with james corden.,"this decreed that it would be occupied by the allies, until 1935 and after that, it would be a demilitarised zone, with the german army forbidden to enter.",114,"after 1935, who would be forbidden to enter rhineland?",german army,"rodin is represented by more than 20 works in the museum collection, making it one of the largest collections of the sculptor's work outside france ; these were given to the museum by the sculptor in 1914, as acknowledgement of britain 's support of france in world war i, although the statue of st john the baptist had been purchased in 1902 by public subscription.",42,in which year were rodin's works given to the v&a?,1914,the total number of seats in the parliament are allocated to parties proportionally to the number of votes received in the second vote of the ballot using the d'hondt method.,172,how are the total numbers of seats allocated to parties?,proportionally to the number of votes received,"in addition to certification, many educational institutions especially within the us, require that prospective teachers pass a background check and psychiatric evaluation to be able to teach in classroom.",171,in what country is a background check required?,us,they were licensed by st. george's church in 1784.,185,richard allen and absalom jones were licensed by what church?,st. george's church,"an online petition of over 5,100 names on the parliamentary website led to chris smith asking parliament about the future of the collection.",135,approximately how many names were signed on an online petition on the parliamentary website in response to the closing of the musical instruments gallery?,"over 5,100","however, the university chose to withdraw from the conference in 1946 after university president robert maynard hutchins de-emphasized varsity athletics in 1939 and dropped football.",21,why did the university eventually leave the conference?,football
"the ""west side"" of fresno, also often called ""southwest fresno"", is one of the oldest neighborhoods in the city.",19,what is another name for the west side of fresno?,southwest fresno,"this shift has already commenced in some countries; for instance, pharmacists in australia receive remuneration from the australian government for conducting comprehensive home medicines reviews.",50,who pays australian pharmacists for doing home medicines reviews?,australian government,"the dornbirner ach had to be diverted, too, and it now flows parallel to the canalized rhine into the lake.",6,"after the dornbirner ach was diverted, where does the rhine flow now?",parallel to the canalized rhine into the lake,"in 2006, unicef estimated that up to 30% of girls in the coastal areas of malindi, mombasa, kilifi, and diani were subject to prostitution.",123,what percent of girls are in prostution in kenyas coastal areas?,up to 30%,"steam engines can be said to have been the moving force behind the industrial revolution and saw widespread commercial use driving machinery in factories, mills and mines ; powering pumping stations ; and propelling transport appliances such as railway locomotives, ships, steamboats and road vehicles.",52,"along with mills and mines, in what industrial locations did steam drive machines?",factories,"on the evening of the same day, the couple was married by bugenhagen.",36,at what point in the day was the couple married?,evening,"following the treaty, king george iii issued the royal proclamation of 1763 on october 7, 1763, which outlined the division and administration of the newly conquered territory, and to some extent continues to govern relations between the government of modern canada and the first nations.",196,who issued the royal proclamation of 1763?,king george iii,a similar method is the electrocatalytic o2 evolution from oxides and oxoacids.,37,what is the source of oxygen production through electrocatalytic means?,oxides and oxoacids,"goldenson also cited interest in japan in the early 1950s, acquiring a 5% stake in two new domestic networks, the mainichi broadcasting system in 1951 and nihon educational television in 1957.",31,what japanese network did abc purchase a stake in in 1951?,mainichi,"the super bowl 50 halftime show was headlined by the british rock group coldplay with special guest performers beyoncã© and bruno mars, who headlined the super bowl xlvii and super bowl xlviii halftime shows, respectively.",3,what two artists came out with coldplay during the half-time show?,beyoncé and bruno mars
"however, the university chose to withdraw from the conference in 1946 after university president robert maynard hutchins de-emphasized varsity athletics in 1939 and dropped football.",121,why did the university eventually leave the conference?,robert maynard hutchins de-emphasized varsity athletics,"the super bowl 50 halftime show was headlined by the british rock group coldplay with special guest performers beyoncã© and bruno mars, who headlined the super bowl xlvii and super bowl xlviii halftime shows, respectively.",103,what two artists came out with coldplay during the half-time show?,beyoncã© and bruno mars,"many types of turing machines are used to define complexity classes, such as deterministic turing machines, probabilistic turing machines, non-deterministic turing machines, quantum turing machines, symmetric turing machines and alternating turing machines.",127,"in the determination of complexity classes, what are two examples of types of turing machines?","probabilistic turing machines, non-deterministic turing machines","he tried to put these ideas to practical use in an ill-fated attempt at intercontinental wireless transmission, his unfinished wardenclyffe tower project.",4,where was his unfinished project called?,wardenclyffe,"i would be doing a service if i killed my father when he is hunting, made an alliance with sultan muhammad, brought this land to life and gave assistance and support to the muslims.""",187,who did jochi reportedly enlist to help him stop his father's massacres?,sultan muhammad,"the design, development and construction of the center was conducted by kurt h. debus, a member of dr. wernher von braun's original v-2 rocket engineering team.",149,who conducted the construction of the new center?,kurt h. debus,"the biodiversity of plant species is the highest on earth with one 2001 study finding a quarter square kilometer (62 acres) of ecuadorian rainforest supports more than 1,100 tree species.",175,how many tree species are in the rainforest?,1100,"in 2006, unicef estimated that up to 30% of girls in the coastal areas of malindi, mombasa, kilifi, and diani were subject to prostitution.",23,what percent of girls are in prostution in kenyas coastal areas?,0.3,"each step had to be successfully accomplished before the next ones could be performed, and it was unknown how many tries of each mission would be necessary; therefore letters were used instead of numbers.",39,"since nasa didn't know how many attempts each test would end up requiring, what did they use instead of numbers for the trials?",letters,"on june 4, 2014, the nfl announced that the practice of branding super bowl games with roman numerals, a practice established at super bowl v, would be temporarily suspended, and that the game would be named using arabic numerals as super bowl 50 as opposed to super bowl l.",100,"if roman numerals were used in the naming of the 50th super bowl, which one would have been used?",l
"in bays where they occur in very high numbers, predation by ctenophores may control the populations of small zooplanktonic organisms such as copepods, which might otherwise wipe out the phytoplankton (planktonic plants), which are a vital part of marine food chains.",194,what are phytoplankton?,planktonic plants,"a function problem is a computational problem where a single output (of a total function) is expected for every input, but the output is more complex than that of a decision problem, that is, it is n't just yes or no.",17,a function problem is an example of what?,computational,some customers consider this to be more convenient and private method rather than traveling to a community drugstore where another customer might overhear about the drugs that they take.,9,what is one reason a patient might choose an internet pharmacy?,drugs that they take,"on june 4, 2014, the nfl announced that the practice of branding super bowl games with roman numerals, a practice established at super bowl v, would be temporarily suspended, and that the game would be named using arabic numerals as super bowl 50 as opposed to super bowl l.",0,"if roman numerals were used in the naming of the 50th super bowl, which one would have been used?",arabic numerals as super bowl 50,"when two forces act on a point particle, the resulting force, the resultant (also called the net force), can be determined by following the parallelogram rule of vector addition: the addition of two vectors represented by sides of a parallelogram, gives an equivalent resultant vector that is equal in magnitude and direction to the transversal of the parallelogram.",199,what is the resultant force called when two forces act on a particle?,net force,"the design, development and construction of the center was conducted by kurt h. debus, a member of dr. wernher von braun's original v-2 rocket engineering team.",49,who conducted the construction of the new center?,kurt h. debus,"warsaw university of technology is the second academic school of technology in the country, and one of the largest in east-central europe, employing 2,000 professors.",18,how many professors does the warsaw university of technology employ?,2000,"according to this theory, those who already hold wealth have the means to invest in new sources of creating wealth or to otherwise leverage the accumulation of wealth, thus are the beneficiaries of the new wealth.",48,"according to the wealth concentration theory, what advantage do the wealthy have in accumulating new wealth?",otherwise leverage the accumulation of wealth,"kublai originally named his eldest son, zhenjin, as the crown prince, but he died before kublai in 1285.",55,when did zhenjin die?,1285,this early part of luther's career was one of his most creative and productive.,111,what part of luther's career was one of his most productive?,early part
"the plan was, at least provisionally approved by then superintendent of new york city schools, william h. maxwell.",51,who approved of this plan?,william h. maxwell,sky uk limited (formerly british sky broadcasting or bskyb) is a british telecommunications company which serves the united kingdom.,29,what kind of company is sky uk limited?,british telecommunications company,"this decreed that it would be occupied by the allies, until 1935 and after that, it would be a demilitarised zone, with the german army forbidden to enter.",14,"after 1935, who would be forbidden to enter rhineland?",the german army,"packet switching contrasts with another principal networking paradigm, circuit switching, a method which pre-allocates dedicated network bandwidth specifically for each communication session, each having a constant bit rate and latency between nodes.",30,how is circuit switching allocated,pre-allocates dedicated network bandwidth specifically for each communication session,"packet switching contrasts with another principal networking paradigm, circuit switching, a method which pre-allocates dedicated network bandwidth specifically for each communication session, each having a constant bit rate and latency between nodes.",130,how is circuit switching allocated,a method which pre-allocates dedicated network bandwidth,leonard goldenson said that abc's first international activity was broadcasting the coronation of queen elizabeth ii in june 1953 ; cbs and nbc were unable to cover the coronation live due to respective issues with technical problems and flight delays.,89,why was cbs unable to broadcast the coronation of queen elizabeth ii?,respective issues with technical problems and flight delays,"on an international level, the price increases changed competitive positions in many industries, such as automobiles.",73,"on an international level, which industry's competitive positions is affected?",automobiles,"according to this theory, those who already hold wealth have the means to invest in new sources of creating wealth or to otherwise leverage the accumulation of wealth, thus are the beneficiaries of the new wealth.",148,"according to the wealth concentration theory, what advantage do the wealthy have in accumulating new wealth?",means to invest,"the crew of apollo 8 sent the first live televised pictures of the earth and the moon back to earth, and read from the creation story in the book of genesis, on christmas eve, 1968.",141,what crew sent the first ever live images of the earth and moon to earth?,apollo 8,"t-cells have a symbiotic relationship with vitamin d. not only does the t-cell extend a vitamin d receptor, in essence asking to bind to the steroid hormone version of vitamin d, calcitriol, but the t-cell expresses the gene cyp27b1, which is the gene responsible for converting the pre-hormone version of vitamin d, calcidiol into the steroid hormone version, calcitriol.",82,what is the nature of the relationship between t-cells and vitamin d?,symbiotic
"warsaw university of technology is the second academic school of technology in the country, and one of the largest in east-central europe, employing 2,000 professors.",118,how many professors does the warsaw university of technology employ?,2000,"albert einstein extended the principle of inertia further when he explained that reference frames subject to constant acceleration, such as those free-falling toward a gravitating object, were physically equivalent to inertial reference frames.",93,who explained that inertial reference frames equaled reference frames subject to constant acceleration?,albert einstein,"following a break for late local programming, cbs also aired a special episode of the late late show with james corden.",68,what followed the late local programming after super bowl 50?,cbs,philo incorrectly surmised that parts of the air in the vessel were converted into the classical element fire and thus were able to escape through pores in the glass.,188,what did philo incorrectly assume that the air became?,fire,"some of the income was dispensed in the form of aid to other underdeveloped nations whose economies had been caught between higher oil prices and lower prices for their own export commodities, amid shrinking western demand.",81,what is one of the reason that underdeveloped nations received aid from the oil income?,quarter,the warsaw stock exchange is one of the largest and most important in central and eastern europe.,166,what exchange in warsaw is one of the most important for central and eastern europe?,stock,this would be the final year in a multi-year contract with anheuser-busch inbev that allowed the beer manufacturer to air multiple advertisements during the game at a steep discount.,162,which company has been able to air multiple ads at a steep discount?,anheuser-busch inbev,the arrival of satellite television ended the need for abc to hold interests in other countries ; many governments also wanted to increase their independence and strengthen legislation to limit foreign ownership of broadcasting properties.,24,why was abc forced to sell its interests in international networks in the 70s?,the arrival of satellite television,"however, mughal emperors directly patronized the legacies of genghis khan and timur ; together their names were synonymous with the names of other distinguished personalities particularly among the muslim populations of south asia.",177,which mongol conqueror was most celebrated by the mughal emperors?,timur,proportionality is recognised one of the general principles of european union law by the european court of justice since the 1950s.,158,how long has proportionality been recognized as one of the general principles of eu law?,since the 1950s
"woods retained his position as president and ceo of abc until december 1949, and was subsequently promoted to vice-chairman of the board before leaving abc altogether on june 30, 1951.",113,what position did mark woods take on at the new american broadcasting company?,president and ceo,"in 1854 at ballarat there was an armed rebellion against the government of victoria by miners protesting against mining taxes (the ""eureka stockade"").",74,when was there a armed protest at ballarat about mining taxes?,1854,"however, most of hearst television's 16 abc-affiliated stations transmit the network's programming in 1080i hd, while 11 other affiliates owned by various companies carry the network feed in 480i standard definition either due to technical considerations for affiliates of other major networks that carry abc programming on a digital subchannel or because a primary feed abc affiliate has not yet upgraded their transmission equipment to allow content to be presented in hd.",133,what format do hearst television's abc affiliates transmit in?,1080i hd,"he was supposedly killed with poison by el temã¼r, and tugh temã¼r then remounted the throne.",38,who took the throne after kusala's death?,"el temür, and tugh temür",he had to work at various electrical repair jobs and even as a ditch digger for $2 per day.,101,what did tesla do for a job that paid two dollars a day?,ditch digger,"while chinese primary schools were allowed to retain chinese as the medium of instruction, chinese secondary schools are required to change into english-medium schools.",195,what language is used in chinese primary schools in malaysia?,chinese,"as sea-level continued to rise in the netherlands, the formation of the holocene rhine-meuse delta began (~ 8,000 years ago).",120,what country did the rhine continue to rise during the holocene?,netherlands,tesla gained experience in telephony and electrical engineering before emigrating to the united states in 1884 to work for thomas edison in new york city.,61,in what area of the united states did tesla move to?,new york city,"seasonal rainfall is concentrated in the warmest months from may through september, while the driest months are from november through april.",178,when does rain typically fall in jacksonville?,may through september,"following the treaty, king george iii issued the royal proclamation of 1763 on october 7, 1763, which outlined the division and administration of the newly conquered territory, and to some extent continues to govern relations between the government of modern canada and the first nations.",96,who issued the royal proclamation of 1763?,king george iii
"while chinese primary schools were allowed to retain chinese as the medium of instruction, chinese secondary schools are required to change into english-medium schools.",95,what language is used in chinese primary schools in malaysia?,english-medium,"seasonal rainfall is concentrated in the warmest months from may through september, while the driest months are from november through april.",77,when does rain typically fall in jacksonville?,genghis khan,"each step had to be successfully accomplished before the next ones could be performed, and it was unknown how many tries of each mission would be necessary; therefore letters were used instead of numbers.",139,"since nasa didn't know how many attempts each test would end up requiring, what did they use instead of numbers for the trials?",letters,"tesla's father, in a moment of despair, promised to send him to the best engineering school if he recovered from the illness (his father had originally wanted him to enter the priesthood).",90,what was tesla's father's original plans for tesla?,to enter the priesthood,"luther 's 1541 hymn ""christ unser herr zum jordan kam"" (""to jordan came the christ our lord"") reflects the structure and substance of his questions and answers concerning baptism in the small catechism.",153,what does luther's hymn christ unser herr zum jordan kam concern?,baptism,"oxfam's claims have however been questioned on the basis of the methodology used: by using net wealth (adding up assets and subtracting debts), the oxfam report, for instance, finds that there are more poor people in the united states and western europe than in china (due to a greater tendency to take on debts).",147,what has caused oxfam's findings to be questioned?,the methodology used,in 2011 the board of pharmaceutical specialties approved ambulatory care pharmacy practice as a separate board certification.,40,when was ambulatory care pharmacy approved as its own certification?,2011,in 2011 the board of pharmaceutical specialties approved ambulatory care pharmacy practice as a separate board certification.,140,when was ambulatory care pharmacy approved as its own certification?,2011,"each year, enr compiles and reports on data about the size of design and construction companies.",108,what compiles and reports on data about the size of design and construction companies?,enr,"in may 2000, the parliament was temporarily relocated to the former strathclyde regional council debating chamber in glasgow, and to the university of aberdeen in may 2002.",2,"in may 2002, where would you go to address the parliament?",aberdeen
the number of chloroplasts per cell varies from 1 in algae up to 100 in plants like arabidopsis and wheat.,44,how many chloroplasts per cell does algae have?,1,"in 1854 at ballarat there was an armed rebellion against the government of victoria by miners protesting against mining taxes (the ""eureka stockade"").",174,when was there a armed protest at ballarat about mining taxes?,1854,"he tried to put these ideas to practical use in an ill-fated attempt at intercontinental wireless transmission, his unfinished wardenclyffe tower project.",104,where was his unfinished project called?,wardenclyffe tower project,"japanese imports, primarily the toyota corona, the toyota corolla, the datsun b210, the datsun 510, the honda civic, the mitsubishi galant (a captive import from chrysler sold as the dodge colt), the subaru dl, and later the honda accord all had four cylinder engines that were more fuel efficient than the typical american v8 and six cylinder engines.",63,which country's cars became more highly sought after as they were more fuel efficient?,honda,"in the more spiritual or mystical islamic tradition of sufism, the position of spiritual teacher and an esoteric (as opposed to exoteric, or actions-oriented, e.g. the five pillars of islam) spirituality and spiritual knowledge takes on a more important dimension, with emphasis on learning from living saints - the highest of which is a qutb - and of traditions passed down from initiate to initiate, and traceable back to the founder of the order.",125,what is the name of the mystical type of islam?,sufism,"gaining support from princes and officers in northern china and some other parts of the dynasty, khanbaliq-based tugh temã¼r eventually won the civil war against ragibagh known as the war of the two capitals.",145,what was the civil war against ragibagh also called?,the war of the two capitals,"materials readily available in the area generally dictate the construction materials used (e.g. brick versus stone, versus timber).",10,what generally dictates the construction materials used?,materials,this would be the final year in a multi-year contract with anheuser-busch inbev that allowed the beer manufacturer to air multiple advertisements during the game at a steep discount.,62,which company has been able to air multiple ads at a steep discount?,anheuser-busch inbev,"the south florida/miami area has previously hosted the event 10 times (tied for most with new orleans), with the most recent one being super bowl xliv in 2010.",157,what city is tied with miami for hosting the super bowl?,new orleans,the warsaw stock exchange is one of the largest and most important in central and eastern europe.,66,what exchange in warsaw is one of the most important for central and eastern europe?,warsaw stock exchange
"materials readily available in the area generally dictate the construction materials used (e.g. brick versus stone, versus timber).",110,what generally dictates the construction materials used?,materials readily available in the area,"his work in the formative years of electric power development was involved in a corporate alternating current/direct current ""war of currents"" as well as various patent battles.",64,"what ""war"" was tesla involved in?",war of currents,"the biodiversity of plant species is the highest on earth with one 2001 study finding a quarter square kilometer (62 acres) of ecuadorian rainforest supports more than 1,100 tree species.",80,how many tree species were found in one square kilometer of ecuadorian rainforest in 2001?,chorale cantatas,sky uk limited (formerly british sky broadcasting or bskyb) is a british telecommunications company which serves the united kingdom.,129,what kind of company is sky uk limited?,telecommunications,"the war was fought between the colonies of british america and new france, with both sides supported by military units from their parent countries of great britain and france, as well as native american allies.",56,who fought in the french and indian war?,british america and new france,this is not a valid comparison -- the inner mitochondria membrane is used to run proton pumps and carry out oxidative phosphorylation across to generate atp energy.,128,what does oxidative phosphorylation do?,generate atp energy,"the panthers then blew out the arizona cardinals in the nfc championship game, 49 -- 15, racking up 487 yards and forcing seven turnovers.",26,who did the panthers play in their division championship game?,arizona cardinals,leonard goldenson said that abc's first international activity was broadcasting the coronation of queen elizabeth ii in june 1953 ; cbs and nbc were unable to cover the coronation live due to respective issues with technical problems and flight delays.,189,why was cbs unable to broadcast the coronation of queen elizabeth ii?,technical problems,"barred by the government from settling in new france, huguenots led by jessã© de forest, sailed to north america in 1624 and settled instead in the dutch colony of new netherland (later incorporated into new york and new jersey); as well as great britain 's colonies, including nova scotia.",98,when did huguenots colonize in north america?,1624,"as indigenous territories continue to be destroyed by deforestation and ecocide, such as in the peruvian amazon indigenous peoples' rainforest communities continue to disappear, while others, like the urarina continue to struggle to fight for their cultural survival and the fate of their forested territories.",184,what kind of territories are being destroyed by ecocide in the amazon?,indigenous territories
